scenario,month,Vulnerability (average effect),Vulnerability (average effect)_lo,Vulnerability (average effect)_hi,Protection risk (average effect),Protection risk (average effect)_lo,Protection risk (average effect)_hi,Basic needs gap (average effect),Basic needs gap (average effect)_lo,Basic needs gap (average effect)_hi,Education access (average effect),Education access (average effect)_lo,Education access (average effect)_hi,Morbidity (average effect),Morbidity (average effect)_lo,Morbidity (average effect)_hi,Service efficiency (average effect),Service efficiency (average effect)_lo,Service efficiency (average effect)_hi
Durable Solutions,11,0.5161640846631514,0.5156909340785072,0.5167049376135288,0.5180471474175807,0.517571858985687,0.5187059483222672,0.4930276062277291,0.4925080836878039,0.49370376699703133,0.42898598408463595,0.4284592218886388,0.42936213089923836,0.4855913752035067,0.48515743449283216,0.48622478303890904,0.42258101557858696,0.4220828011004961,0.42289632646651665
Durable Solutions,12,0.5218319750337277,0.5212614436252322,0.522310563421878,0.524564811209332,0.5240440702406005,0.5251626146314681,0.4971160005795798,0.49661338253038273,0.4977916146952465,0.42700618798698003,0.42646783413321687,0.4275138609195905,0.48854698523016393,0.48801533982626555,0.48919835348414215,0.4205945358635902,0.41994699132947105,0.4210436767411134
Equal,0,0.45413930969986077,0.4541393096998609,0.4541393096998609,0.44665318244415764,0.44665318244415764,0.44665318244415764,0.44785200362117716,0.4478520036211772,0.4478520036211772,0.4505449397667346,0.45054493976673454,0.45054493976673454,0.4527179598584697,0.45271795985846963,0.45271795985846963,0.44421819971422105,0.44421819971422094,0.44421819971422094
Equal,1,0.45913219920514486,0.45898910402157755,0.4593174785669274,0.4526319583326175,0.4525162484876168,0.452805766110929,0.45186310583012157,0.4517052957912368,0.45197407104910625,0.4485562711607061,0.4484367928793695,0.44871503517193834,0.4557202617356607,0.4555997428620892,0.45583287177714227,0.44226938932987714,0.4421912496110647,0.4423615328180809
Equal,2,0.4641131797386836,0.463952951550586,0.46435182171810385,0.45861109925939775,0.458426518505122,0.4587861500128953,0.45584963802706824,0.45572279368166196,0.45606547445714113,0.44656197658103947,0.4463350512637537,0.4467591659710912,0.45871465222251623,0.45860958139816094,0.45886930525843617,0.4402872449290512,0.4401518346711163,0.44045433235267123
Equal,3,0.4691212255187816,0.46890099723152645,0.46945802020181304,0.46459480565286837,0.46428068054501714,0.46480994366801215,0.4598369493872327,0.4596481264346191,0.4600641812609391,0.44462169495361153,0.4444151477343496,0.4450226788788248,0.46169028385410743,0.4614769575447383,0.4618735194710782,0.43831478578999244,0.4381199956912496,0.43845408612887615
Equal,4,0.47410670469569893,0.47378418872870515,0.4744791470626151,0.4705712621564797,0.4702982123352377,0.47079628364085235,0.46382047811555704,0.4635651534974767,0.46412941678027225,0.4426778386580638,0.4424023254958627,0.4430541894556289,0.4646870923657224,0.4643885251783389,0.4649362280578853,0.4363299617758748,0.4361629249743222,0.4365078475368484
Equal,5,0.4790759866363759,0.4786901971366848,0.47953515578740064,0.47652796431370453,0.4762712394615166,0.47681514286500587,0.4678005912346658,0.46750170487186365,0.4681558610400117,0.4407192340326033,0.44022936976375565,0.44110774664670405,0.46765843347201735,0.46736908584121345,0.46788816976938546,0.4343504232006589,0.43410230466186706,0.4345537349130121
Equal,6,0.48405651361990804,0.4836338890685859,0.4845816992439803,0.48246273712927995,0.48212169674655037,0.48285217716693074,0.47176176839010164,0.47148496516072974,0.4721639387488493,0.43879160165302294,0.43818769890827736,0.4392089300374394,0.4706414910794702,0.47033276440132027,0.47099669076271217,0.43240691855152047,0.432124996022779,0.43264294452301255
Equal,7,0.4890409525605173,0.4885539773623831,0.48960735701479857,0.4884515983719214,0.48817433919006786,0.4889923341588721,0.475730251673334,0.47534247216020553,0.47624191589496473,0.43680719436330373,0.436198406341417,0.43734053756555685,0.4736556894767137,0.47322586769735725,0.47406999212484674,0.43042456829892906,0.4301248583643628,0.43069512583952385
Equal,8,0.49397820441536755,0.49347790205472536,0.49471190872113496,0.49435667650102444,0.4940581598594894,0.4949909458358223,0.47972577055069765,0.4793195961398417,0.4802082906998901,0.43484793694453294,0.43414689425037517,0.4354518892214254,0.47662451957394064,0.4761147862153915,0.4770756255834596,0.4285080328187334,0.4281643868639707,0.42895982628930307
Equal,9,0.49888553792831336,0.4983398348372176,0.4995115117869033,0.5003259739149353,0.5000124428831124,0.5009030786827902,0.48371367396569226,0.48329256151487526,0.4841940238228912,0.4328937103925261,0.43231122061445665,0.433480589601989,0.4796197354983274,0.47894662985383535,0.4801891982620137,0.4265472202744105,0.4260906149604129,0.4270562209154672
Equal,10,0.5038306703565757,0.5032698892707735,0.504587762446572,0.5062878401363425,0.5058792303364547,0.5068479193790337,0.48767410835373654,0.48719019968529415,0.4881297676580636,0.43088954130485435,0.43018294414386077,0.43157733371411094,0.48259457265241934,0.4819680764046014,0.483154349583344,0.42459733900635416,0.42418095490760127,0.4251320072183077
